journal	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010
CA-A CANCER JOURNAL FOR CLINICIANS	286.13	508.702	292.278	223.679	244.585	187.04	137.578	144.8	162.5	153.459	101.78	94.333
LANCET	202.731	79.321	60.392	59.102	53.254	47.831	44.002	45.217	39.207	39.06	38.278	33.633
NEW ENGLAND JOURNAL OF MEDICINE	176.079	91.245	74.699	70.67	79.26	72.406	59.558	55.873	54.42	51.658	53.298	53.486
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	157.335	56.272	45.54	51.273	47.661	44.405	37.684	35.289	30.387	29.978	30.026	30.011
NATURE REVIEWS MOLECULAR CELL BIOLOGY	113.915	94.444	55.47	43.351	35.612	46.602	38.602	37.806	36.458	37.162	39.123	38.65
NATURE REVIEWS DRUG DISCOVERY	112.288	84.694	64.797	57.618	50.167	57	47.12	41.908	37.231	33.078	29.008	28.712
NATURE REVIEWS IMMUNOLOGY	108.555	53.106	40.358	44.019	41.982	39.932	39.416	34.985	33.836	33.129	33.287	35.196
LANCET RESPIRATORY MEDICINE	102.642	30.7	25.094	22.992	21.466	19.287	15.328	9.629	NA	NA	NA	NA
BMJ-BRITISH MEDICAL JOURNAL	93.333	39.89	30.223	27.604	23.562	20.785	19.697	17.445	16.378	NA	NA	NA
NATURE MEDICINE	87.241	53.44	36.13	30.641	32.621	29.886	30.357	28.223	28.054	24.302	22.462	25.43
LANCET MICROBE	86.208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WORLD PSYCHIATRY	79.683	49.548	40.595	34.024	30	26.561	20.205	14.225	12.846	8.974	6.233	5.562
NATURE REVIEWS MICROBIOLOGY	78.297	60.633	34.209	34.648	31.851	26.819	24.727	23.574	23.317	22.49	21.182	20.686
LANCET PSYCHIATRY	77.056	27.083	16.209	18.329	15.233	11.588	5.756	NA	NA	NA	NA	NA
NATURE REVIEWS MATERIALS	76.679	66.308	71.189	74.449	51.941	NA	NA	NA	NA	NA	NA	NA
NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY	73.082	46.802	29.848	23.57	17.324	13.678	14.435	12.61	10.807	10.426	8.102	4.558
LANCET PUBLIC HEALTH	72.427	21.648	16.292	11.6	NA	NA	NA	NA	NA	NA	NA	NA
CHEMICAL REVIEWS	72.087	60.622	52.758	54.301	52.613	47.928	37.369	46.568	45.661	41.298	40.197	33.036
LANCET INFECTIOUS DISEASES	71.421	25.071	24.446	27.516	25.148	19.864	21.372	22.433	19.446	19.966	17.391	16.144
NATURE REVIEWS CANCER	69.8	60.716	53.03	51.848	42.784	37.147	34.244	37.4	37.912	35	37.545	37.184
NATURE	69.504	49.962	42.778	43.07	41.577	40.137	38.138	41.456	42.351	38.597	36.28	36.104
NATURE BIOTECHNOLOGY	68.164	54.908	36.558	31.864	35.724	41.667	43.113	41.514	39.08	32.438	23.268	31.09
NATURE ENERGY	67.439	60.858	46.495	54	46.859	NA	NA	NA	NA	NA	NA	NA
CELL	66.85	41.582	38.637	36.216	31.398	30.41	28.71	32.242	33.116	31.957	32.403	32.406
NATURE REVIEWS DISEASE PRIMERS	65.038	52.329	40.689	32.274	16.071	6.389	NA	NA	NA	NA	NA	NA
NATURE REVIEWS CLINICAL ONCOLOGY	65.011	66.675	53.276	34.106	24.653	20.693	18.786	14.18	15.696	15.031	11.963	10.787
SCIENCE	63.714	47.728	41.845	41.063	41.058	37.205	34.661	33.611	31.477	31.027	31.201	31.377
CHEMICAL SOCIETY REVIEWS	60.615	54.564	42.846	40.443	40.182	38.618	34.09	33.383	30.425	24.892	28.76	26.585
LANCET NEUROLOGY	59.935	44.182	30.039	28.755	27.144	26.284	23.468	21.896	21.823	23.917	23.462	21.659
NATURE REVIEWS GENETICS	59.581	53.242	33.133	43.704	41.465	40.282	35.898	36.978	39.794	41.063	38.075	32.745
PSYCHOLOGICAL SCIENCE IN THE PUBLIC INTEREST	56.2	37.857	18.25	22.25	21.286	14.143	19.286	16.833	12.833	NA	NA	NA
LANCET ONCOLOGY	54.433	41.316	33.752	35.386	36.421	33.9	26.509	24.69	24.725	25.117	22.589	17.764
ANNALS OF ONCOLOGY	51.769	32.976	18.274	14.196	13.93	11.855	9.269	7.04	6.578	7.384	6.425	6.452
ANNALS OF INTERNAL MEDICINE	51.598	25.391	21.317	19.315	19.384	17.202	16.593	17.81	16.104	13.976	16.733	16.729
JOURNAL OF CLINICAL ONCOLOGY	50.717	44.544	32.956	28.349	26.36	24.008	20.982	18.443	17.96	18.038	18.372	18.97
REVIEWS OF MODERN PHYSICS	50.485	54.494	45.037	38.296	36.367	36.917	33.177	29.604	42.86	44.982	43.933	51.695
CLINICAL MICROBIOLOGY REVIEWS	50.129	26.132	22.556	17.75	20.642	19.958	16.187	17.406	16	17.313	16.129	13.5
NATURE REVIEWS CARDIOLOGY	49.421	32.419	20.26	17.42	15.162	14.299	10.533	9.183	10.154	10.4	8.833	7.467
PROGRESS IN MATERIALS SCIENCE	48.165	39.58	31.56	23.725	23.75	31.14	31.083	27.417	25.87	23.194	18.216	16.658
NATURE METHODS	47.99	28.547	30.822	28.467	26.919	25.062	25.328	32.072	25.953	23.565	19.276	20.721
NATURE MATERIALS	47.656	43.841	38.663	38.887	39.235	39.737	38.891	36.503	36.425	35.749	32.841	29.92
NATURE REVIEWS ENDOCRINOLOGY	47.564	43.33	28.8	24.646	20.265	18.318	15.432	13.281	12.958	11.025	9.971	9.191
PHYSIOLOGICAL REVIEWS	46.5	37.312	25.588	24.25	24.014	27.312	30.924	27.324	29.041	30.174	26.866	28.417
CELL RESEARCH	46.297	25.617	20.507	17.848	15.393	15.606	14.812	12.413	11.981	10.526	8.19	9.417
JOULE	46.048	41.248	27.054	NA	NA	NA	NA	NA	NA	NA	NA	NA
LANCET GASTROENTEROLOGY & HEPATOLOGY	45.042	18.486	14.789	12.856	NA	NA	NA	NA	NA	NA	NA	NA
LANCET DIABETES & ENDOCRINOLOGY	44.867	32.069	25.34	24.54	19.313	19.742	16.32	9.185	NA	NA	NA	NA
NATURE REVIEWS NEUROLOGY	44.711	42.937	27	21.155	19.819	20.257	18.418	15.358	14.103	15.518	12.461	6.511
JAMA INTERNAL MEDICINE	44.409	21.873	18.652	20.768	19.989	16.538	14	13.116	NA	NA	NA	NA
IMMUNITY	43.474	31.745	22.553	21.522	19.734	22.845	24.082	21.561	19.748	19.795	21.637	24.221
LIVING REVIEWS IN RELATIVITY	42.9	40.429	35.429	27.778	23.333	29.3	32	19.25	16.526	22.333	17.462	12.625
NATURE REVIEWS NEPHROLOGY	42.439	28.314	20.711	19.684	14.101	12.146	9.463	8.542	8.368	7.943	7.092	4.75
INTENSIVE CARE MEDICINE	41.787	17.44	17.679	18.967	15.008	12.015	10.125	7.214	5.544	5.258	5.399	4.996
MOLECULAR CANCER	41.444	27.401	15.302	10.679	7.776	6.204	5.888	4.257	5.397	5.134	3.993	3.779
NATURE GENETICS	41.307	38.33	27.603	25.455	27.125	27.959	31.616	29.352	29.648	35.209	35.532	36.377
NATURE CATALYSIS	40.706	41.813	30.471	NA	NA	NA	NA	NA	NA	NA	NA	NA
NATURE NANOTECHNOLOGY	40.523	39.213	31.538	33.407	37.49	38.986	35.267	34.048	33.265	31.17	27.27	30.324
CIRCULATION	39.918	29.69	23.603	23.054	18.881	19.309	17.202	15.073	14.948	15.202	14.739	14.432
NATURE PHOTONICS	39.728	38.771	31.241	31.583	32.521	37.852	31.167	32.386	29.958	27.254	29.278	26.506
ENERGY & ENVIRONMENTAL SCIENCE	39.714	38.532	30.289	33.25	30.067	29.518	25.427	20.523	15.49	11.653	9.61	9.488
JOURNAL OF TRAVEL MEDICINE	39.194	8.49	7.089	4.155	1.8	1.803	1.868	1.579	1.525	1.683	1.748	1.473
LANCET GLOBAL HEALTH	38.927	26.763	21.597	15.873	18.705	17.686	14.722	10.042	NA	NA	NA	NA
NATURE REVIEWS NEUROSCIENCE	38.755	34.87	33.654	33.162	32.635	28.88	29.298	31.427	31.376	31.673	30.445	29.51
JOURNAL OF INFECTION	38.637	6.072	4.842	5.099	4.603	4.201	4.382	4.441	4.017	4.073	4.126	3.805
CANCER CELL	38.585	31.743	26.602	23.916	22.844	27.407	23.214	23.523	23.893	24.755	26.566	26.925
CANCER DISCOVERY	38.272	39.397	29.497	26.37	24.373	20.011	19.783	19.453	15.929	10.143	NA	NA
SIGNAL TRANSDUCTION AND TARGETED THERAPY	38.104	18.187	13.493	5.873	NA	NA	NA	NA	NA	NA	NA	NA
CELL DISCOVERY	38.079	10.849	6.255	4.6	4.462	NA	NA	NA	NA	NA	NA	NA
LANCET CHILD & ADOLESCENT HEALTH	37.746	11.288	8.543	NA	NA	NA	NA	NA	NA	NA	NA	NA
JOURNAL OF PUBLIC TRANSPORTATION	37.667	2.529	1.333	1.302	0.732	0.71	0.581	0.603	0.414	NA	NA	NA
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS	37.226	30.065	32.963	33.069	24.912	30.733	37.846	33.346	24.037	23.333	26.452	27.444
NATURE REVIEWS EARTH & ENVIRONMENT	37.214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LANCET DIGITAL HEALTH	36.615	24.519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMWR RECOMMENDATIONS AND REPORTS	36.286	55.857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NATURE REVIEWS PHYSICS	36.273	31.068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EUROPEAN HEART JOURNAL	35.855	29.983	22.673	24.889	23.425	20.212	15.064	15.203	14.723	14.097	10.478	10.052
ASTRONOMY AND ASTROPHYSICS REVIEW	35.786	25.357	16	15.143	11.611	8.222	12.136	17.737	13.312	9.5	11.526	15.438
LANCET RHEUMATOLOGY	35.482	8.136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	35.339	29.394	28.938	26.467	25.242	17.382	16.784	19.22	16.909	15.089	14.22	10.362
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	35.301	17.586	13.606	14.874	12.888	11.483	10.588	NA	NA	NA	NA	NA
MILITARY MEDICAL RESEARCH	34.915	3.329	2.325	NA	NA	NA	NA	NA	NA	NA	NA	NA
NATURE REVIEWS CHEMISTRY	34.571	34.035	34.953	30.628	NA	NA	NA	NA	NA	NA	NA	NA
GASTROENTEROLOGY	33.883	22.682	17.373	19.809	20.773	18.392	18.187	16.716	13.926	12.821	11.675	12.032
IEEE COMMUNICATIONS SURVEYS AND TUTORIALS	33.84	25.249	23.7	22.973	20.23	17.188	9.22	6.806	6.49	4.818	6.311	3.692
EUROPEAN RESPIRATORY JOURNAL	33.795	16.671	12.339	11.807	12.244	10.569	8.332	7.636	7.125	6.355	5.895	5.922
MATERIALS SCIENCE & ENGINEERING R-REPORTS	33.667	36.214	26.625	22.25	24.48	29.28	24.652	15.5	11.789	13.902	14.951	19.75
NATURE ELECTRONICS	33.255	33.686	27.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
JAMA ONCOLOGY	33.006	31.777	24.799	22.416	20.871	16.559	NA	NA	NA	NA	NA	NA
ELECTROCHEMICAL ENERGY REVIEWS	32.804	28.905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANNUAL REVIEW OF IMMUNOLOGY	32.481	28.527	19.9	21.429	22.714	28.396	35.543	39.327	41.392	36.556	52.761	49.271
ANNUAL REVIEW OF PATHOLOGY-MECHANISMS OF DISEASE	32.35	23.472	16.75	13.833	15.952	26.853	23.758	18.75	22.128	25.794	20	18.778
NATURE REVIEWS RHEUMATOLOGY	32.286	20.543	16.625	18.545	15.661	12.188	10.531	9.845	10.252	9.745	8.388	6.448
ADVANCED MATERIALS	32.086	30.849	27.398	25.809	21.95	19.791	18.96	17.493	15.409	14.829	13.877	10.88
GUT	31.793	23.059	19.819	17.943	17.016	16.658	14.921	14.66	13.319	10.732	10.111	10.614
CELL METABOLISM	31.373	27.287	21.567	22.415	20.565	18.164	17.303	17.565	16.747	14.619	13.668	18.207
CELL HOST & MICROBE	31.316	21.023	15.923	15.753	17.872	14.946	12.552	12.328	12.194	12.609	13.5	13.728
PROGRESS IN POLYMER SCIENCE	31.281	29.19	22.62	24.505	24.558	25.766	27.184	26.932	26.854	26.383	24.1	22.87
NATURE IMMUNOLOGY	31.25	25.606	20.479	23.53	21.809	21.506	19.381	20.004	24.973	26.199	26.008	25.668
NATURE MICROBIOLOGY	30.964	17.745	15.54	14.633	14.174	NA	NA	NA	NA	NA	NA	NA
SCIENCE IMMUNOLOGY	30.63	17.727	13.44	10.551	NA	NA	NA	NA	NA	NA	NA	NA
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	30.528	21.405	17.452	16.494	15.239	13.204	13.118	12.996	11.986	11.041	11.08	10.191
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	30.51	25.6	25.798	28.295	20.099	17.425	16.24	20.033	22.91	22.929	20.394	19.438
JAMA CARDIOLOGY	30.154	14.676	12.794	11.866	10.133	NA	NA	NA	NA	NA	NA	NA
LANCET HAEMATOLOGY	30.153	18.959	10.406	11.99	10.698	7.123	4.889	NA	NA	NA	NA	NA
JOURNAL OF HEPATOLOGY	30.083	25.083	20.582	18.946	15.04	12.486	10.59	11.336	10.401	9.858	9.264	9.334
JAMA NEUROLOGY	29.907	18.302	13.608	12.321	11.46	10.029	8.23	7.271	NA	NA	NA	NA
ADVANCED ENERGY MATERIALS	29.698	29.368	25.245	24.884	21.875	16.721	15.23	16.146	14.385	10.043	NA	NA
NATURE BIOMEDICAL ENGINEERING	29.234	25.671	18.952	17.135	NA	NA	NA	NA	NA	NA	NA	NA
RADIOLOGY	29.146	11.105	7.931	7.608	7.469	7.296	6.798	6.867	6.214	6.339	5.726	6.069
MMWR SURVEILLANCE SUMMARIES	29.095	58.769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NATURE NEUROSCIENCE	28.771	24.884	20.071	21.126	19.912	17.839	16.724	16.095	14.976	15.251	15.531	14.191
LANCET PLANETARY HEALTH	28.75	19.173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LIVING REVIEWS IN SOLAR PHYSICS	28.7	17.417	20	14.625	12.833	12.455	19.333	17.636	11.833	13.833	12.5	NA
NATURE CLIMATE CHANGE	28.66	25.29	20.893	21.722	19.181	19.304	17.184	14.547	15.295	14.472	NA	NA
NATURE CELL BIOLOGY	28.213	28.824	20.042	17.728	19.064	20.06	18.699	19.679	20.058	20.761	19.488	19.407
ANNALS OF THE RHEUMATIC DISEASES	27.973	19.103	16.102	14.299	12.35	12.811	12.384	10.377	9.27	9.111	8.727	9.082
ANNUAL REVIEW OF PSYCHOLOGY	27.782	24.137	18.156	19.755	22.774	19.95	19.085	21.81	20.533	15.265	16.833	NA
ANNUAL REVIEW OF PSYCHOLOGY	27.782	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.288
SCIENCE ROBOTICS	27.541	23.748	18.684	19.4	NA	NA	NA	NA	NA	NA	NA	NA
ANNUAL REVIEW OF BIOCHEMISTRY	27.258	23.643	25.787	26.922	20.154	19.939	21.407	30.283	26.534	27.681	34.317	29.742
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	27.203	24.094	20.589	18.639	16.834	19.896	17.759	16.503	15.343	14.086	14.156	14.293
NATURE SUSTAINABILITY	27.157	19.346	12.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
DIALOGUES IN HUMAN GEOGRAPHY	27	11.769	10.231	3.875	10.214	NA	NA	NA	NA	NA	NA	NA
MATERIALS TODAY	26.943	31.041	26.416	24.372	24.537	21.695	17.793	14.107	10.85	6.071	5.565	6.265
JAMA PEDIATRICS	26.796	16.193	13.946	12.004	10.769	10.251	9.528	7.148	NA	NA	NA	NA
JAMA PSYCHIATRY	25.911	21.596	17.471	15.916	16.642	15.307	14.417	12.008	NA	NA	NA	NA
NATURE MACHINE INTELLIGENCE	25.898	15.508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHEM	25.832	22.804	19.735	18.205	14.104	NA	NA	NA	NA	NA	NA	NA
STUDIES IN MYCOLOGY	25.731	16.097	9.027	9.206	11.633	14	13.889	13.25	9.296	6.231	10.625	3.71
PSYCHOTHERAPY AND PSYCHOSOMATICS	25.617	17.659	14.864	13.744	13.122	8.964	7.632	9.196	9.37	7.23	6.284	6
BLOOD	25.476	22.113	17.543	16.601	15.132	13.164	11.847	10.452	9.775	9.06	9.898	10.558
ANNUAL REVIEW OF FLUID MECHANICS	25.293	18.511	16.306	17.214	14.814	14.02	12.333	11.163	11.26	12.6	12.767	NA
ANNUAL REVIEW OF FLUID MECHANICS	25.293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.216
CELL STEM CELL	25.269	24.633	20.86	21.464	23.29	23.394	22.387	22.268	22.151	25.315	25.421	25.943
ENDOCRINE REVIEWS	25.261	19.871	14.661	15.167	15.545	15.745	14.898	21.059	19.358	14.873	19.929	22.469
REVIEWS OF GEOPHYSICS	24.946	22	21.449	16.725	13.529	12.34	11.444	14.8	10.4	13.906	12.364	9.538
FUNGAL DIVERSITY	24.902	20.372	15.386	15.596	14.078	13.465	6.991	6.221	6.938	5.319	4.769	5.074
INTERNATIONAL JOURNAL OF ORAL SCIENCE	24.897	6.344	3.047	2.75	4.138	3.93	2.595	2.531	2.029	2.719	1.411	0.815
COORDINATION CHEMISTRY REVIEWS	24.833	22.315	15.367	13.476	14.499	13.324	12.994	12.239	12.098	11.016	12.11	10.018
INFOMAT	24.798	25.405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADVANCES IN OPTICS AND PHOTONICS	24.75	20.107	14.69	13.963	21.286	17.833	12.368	10.111	9.688	NA	NA	NA
TRENDS IN COGNITIVE SCIENCES	24.482	20.229	15.218	16.173	15.557	15.402	17.85	21.965	21.147	16.008	12.586	9.686
ACCOUNTS OF CHEMICAL RESEARCH	24.466	22.384	20.832	21.661	20.955	20.268	22.003	22.323	24.348	20.833	21.64	21.852
APPLIED CATALYSIS B-ENVIRONMENTAL	24.319	19.503	16.683	14.229	11.698	9.446	8.328	7.435	6.007	5.825	5.625	4.749
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	24.314	16.389	17.861	17.73	9.455	8.329	6.077	5.781	5.694	4.795	4.908	5.308
NATURE CHEMISTRY	24.274	24.427	21.687	23.193	26.201	25.87	27.893	25.325	23.297	21.757	20.524	17.927
EUROPEAN UROLOGY	24.267	20.096	17.947	17.298	17.581	16.265	14.976	13.938	12.48	10.476	8.493	8.843
NATURE HUMAN BEHAVIOUR	24.252	13.663	12.282	10.575	NA	NA	NA	NA	NA	NA	NA	NA
ACS ENERGY LETTERS	23.991	23.101	19.003	16.331	12.277	NA	NA	NA	NA	NA	NA	NA
ANNUAL REVIEW OF CONDENSED MATTER PHYSICS	23.978	16.109	14.833	15.588	21.853	18.588	16.379	14.786	11.909	15.139	12.389	NA
ADVANCES IN PHYSICS	23.75	25.375	16.375	26.1	30.917	21.818	18	20.833	18.062	34.294	37	21.214
NANO-MICRO LETTERS	23.655	16.419	12.264	9.043	7.381	4.849	3.012	1.975	2.275	2.057	NA	NA
CIRCULATION RESEARCH	23.213	17.367	14.467	15.862	15.211	13.965	11.551	11.019	11.089	11.861	9.489	9.504
NATIONAL SCIENCE REVIEW	23.178	17.275	16.693	13.222	9.408	8.843	8	NA	NA	NA	NA	NA
NATURE CANCER	23.177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
JOURNAL OF HEMATOLOGY & ONCOLOGY	23.168	17.388	11.059	8.731	7.333	6.35	6.263	4.812	4.933	4.458	3.99	2.934
PSYCHOLOGICAL BULLETIN	23.027	17.737	20.85	16.405	13.25	16.793	14.839	14.756	14.392	15.575	14.457	11.975
DRUG RESISTANCE UPDATES	22.841	18.5	11	11.708	11.63	10.906	7.95	9.121	8.816	9.114	9.559	12.312
ANNUAL REVIEW OF ENTOMOLOGY	22.682	19.686	13.796	11.796	13.86	12.867	13.534	13.731	13.021	13.589	11.455	NA
ANNUAL REVIEW OF ENTOMOLOGY	22.682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.18
TRENDS IN CHEMISTRY	22.448	24.081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANNUAL REVIEW OF PHYSIOLOGY	22.163	19.318	19.556	17.902	14.327	11.115	15.754	18.51	14.696	19.547	20.827	NA
ANNUAL REVIEW OF PHYSIOLOGY	22.163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.106
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY	22.098	18.561	13.692	14.098	13.278	12.136	12.214	12.674	12.921	12.422	9.111	9.743
CELLULAR & MOLECULAR IMMUNOLOGY	22.096	11.53	8.484	8.213	7.551	5.897	5.193	4.112	4.185	3.419	2.992	2.026
TRENDS IN PLANT SCIENCE	22.012	18.313	14.416	14.006	12.149	11.911	10.899	12.929	13.479	11.808	11.047	10.095
MOLECULAR PLANT	21.949	13.164	12.084	10.812	9.326	8.827	7.142	6.337	6.605	6.126	5.546	4.296
TRENDS IN BIOTECHNOLOGY	21.942	19.536	14.343	13.747	13.578	11.126	12.065	11.958	10.04	9.66	9.148	9.644
ANNUAL REVIEW OF PUBLIC HEALTH	21.87	21.981	16.463	10.776	9.491	10.228	10.24	6.469	6.627	3.268	5.451	8.609
CARBON ENERGY	21.556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NATURE GEOSCIENCE	21.531	16.908	13.566	14.48	14.391	13.941	12.508	11.74	11.668	12.367	11.754	10.392
BEHAVIORAL AND BRAIN SCIENCES	21.357	12.579	17.333	17.194	15.071	14.2	20.415	20.771	14.962	18.571	25.056	21.952
EUROSURVEILLANCE	21.286	6.307	6.454	7.421	7.127	7.202	5.983	5.722	4.659	5.491	6.153	NA
TRENDS IN CELL BIOLOGY	21.167	20.808	16.041	16.588	18.564	15.333	11.532	12.007	12.314	11.721	12.354	12.14
CLINICAL INFECTIOUS DISEASES	20.999	9.079	8.313	9.055	9.117	8.216	8.736	8.886	9.416	9.374	9.154	8.186
ENERGY STORAGE MATERIALS	20.831	17.789	16.28	NA	NA	NA	NA	NA	NA	NA	NA	NA
JOURNAL OF MEDICAL VIROLOGY	20.693	2.327	2.021	2.049	1.988	1.935	1.998	2.347	2.217	2.373	2.82	2.895
TRENDS IN ECOLOGY & EVOLUTION	20.589	17.712	14.764	15.236	15.938	15.268	16.735	16.196	15.353	15.389	15.748	14.448
SCIENCE BULLETIN	20.577	11.78	9.511	6.277	4.136	4.092	NA	NA	NA	NA	NA	NA
