journal	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010
CA-A CANCER JOURNAL FOR CLINICIANS	292.278	223.679	244.585	187.04	137.578	144.8	162.5	153.459	101.78	94.333
NEW ENGLAND JOURNAL OF MEDICINE	74.699	70.67	79.26	72.406	59.558	55.873	54.42	51.658	53.298	53.486
Nature Reviews Materials	71.189	74.449	51.941	NA	NA	NA	NA	NA	NA	NA
NATURE REVIEWS DRUG DISCOVERY	64.797	57.618	50.167	57	47.12	41.908	37.231	33.078	29.008	28.712
LANCET	60.392	59.102	53.254	47.831	44.002	45.217	39.207	39.06	38.278	33.633
WHO Technical Report Series	59	NA	0.735	NA	NA	0.974	NA	6.1	1.52	1.353
NATURE REVIEWS MOLECULAR CELL BIOLOGY	55.47	43.351	35.612	46.602	38.602	37.806	36.458	37.162	39.123	38.65
Nature Reviews Clinical Oncology	53.276	34.106	24.653	20.693	18.786	14.18	15.696	15.031	11.963	10.787
NATURE REVIEWS CANCER	53.03	51.848	42.784	37.147	34.244	37.4	37.912	35	37.545	37.184
CHEMICAL REVIEWS	52.758	54.301	52.613	47.928	37.369	46.568	45.661	41.298	40.197	33.036
Nature Energy	46.495	54	46.859	NA	NA	NA	NA	NA	NA	NA
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	45.54	51.273	47.661	44.405	37.684	35.289	30.387	29.978	30.026	30.011
REVIEWS OF MODERN PHYSICS	45.037	38.296	36.367	36.917	33.177	29.604	42.86	44.982	43.933	51.695
CHEMICAL SOCIETY REVIEWS	42.846	40.443	40.182	38.618	34.09	33.383	30.425	24.892	28.76	26.585
NATURE	42.778	43.07	41.577	40.137	38.138	41.456	42.351	38.597	36.28	36.104
SCIENCE	41.845	41.063	41.058	37.205	34.661	33.611	31.477	31.027	31.201	31.377
Nature Reviews Disease Primers	40.689	32.274	16.071	6.389	NA	NA	NA	NA	NA	NA
World Psychiatry	40.595	34.024	30	26.561	20.205	14.225	12.846	8.974	6.233	5.562
NATURE REVIEWS IMMUNOLOGY	40.358	44.019	41.982	39.932	39.416	34.985	33.836	33.129	33.287	35.196
NATURE MATERIALS	38.663	38.887	39.235	39.737	38.891	36.503	36.425	35.749	32.841	29.92
CELL	38.637	36.216	31.398	30.41	28.71	32.242	33.116	31.957	32.403	32.406
NATURE BIOTECHNOLOGY	36.558	31.864	35.724	41.667	43.113	41.514	39.08	32.438	23.268	31.09
NATURE MEDICINE	36.13	30.641	32.621	29.886	30.357	28.223	28.054	24.302	22.462	25.43
Living Reviews in Relativity	35.429	27.778	23.333	29.3	32	19.25	16.526	22.333	17.462	12.625
Nature Reviews Chemistry	34.953	30.628	NA	NA	NA	NA	NA	NA	NA	NA
NATURE REVIEWS MICROBIOLOGY	34.209	34.648	31.851	26.819	24.727	23.574	23.317	22.49	21.182	20.686
LANCET ONCOLOGY	33.752	35.386	36.421	33.9	26.509	24.69	24.725	25.117	22.589	17.764
NATURE REVIEWS NEUROSCIENCE	33.654	33.162	32.635	28.88	29.298	31.427	31.376	31.673	30.445	29.51
NATURE REVIEWS GENETICS	33.133	43.704	41.465	40.282	35.898	36.978	39.794	41.063	38.075	32.745
Annual Review of Astronomy and Astrophysics	32.963	33.069	24.912	30.733	37.846	33.346	24.037	23.333	26.452	27.444
JOURNAL OF CLINICAL ONCOLOGY	32.956	28.349	26.36	24.008	20.982	18.443	17.96	18.038	18.372	18.97
PROGRESS IN MATERIALS SCIENCE	31.56	23.725	23.75	31.14	31.083	27.417	25.87	23.194	18.216	16.658
Nature Nanotechnology	31.538	33.407	37.49	38.986	35.267	34.048	33.265	31.17	27.27	30.324
Nature Photonics	31.241	31.583	32.521	37.852	31.167	32.386	29.958	27.254	29.278	26.506
NATURE METHODS	30.822	28.467	26.919	25.062	25.328	32.072	25.953	23.565	19.276	20.721
Nature Catalysis	30.471	NA	NA	NA	NA	NA	NA	NA	NA	NA
Energy & Environmental Science	30.289	33.25	30.067	29.518	25.427	20.523	15.49	11.653	9.61	9.488
BMJ-British Medical Journal	30.223	27.604	23.562	20.785	19.697	17.445	16.378	NA	NA	NA
LANCET NEUROLOGY	30.039	28.755	27.144	26.284	23.468	21.896	21.823	23.917	23.462	21.659
Nature Reviews Gastroenterology & Hepatology	29.848	23.57	17.324	13.678	14.435	12.61	10.807	10.426	8.102	4.558
Cancer Discovery	29.497	26.37	24.373	20.011	19.783	19.453	15.929	10.143	NA	NA
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	28.938	26.467	25.242	17.382	16.784	19.22	16.909	15.089	14.22	10.362
Nature Reviews Endocrinology	28.8	24.646	20.265	18.318	15.432	13.281	12.958	11.025	9.971	9.191
NATURE GENETICS	27.603	25.455	27.125	27.959	31.616	29.352	29.648	35.209	35.532	36.377
Nature Electronics	27.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADVANCED MATERIALS	27.398	25.809	21.95	19.791	18.96	17.493	15.409	14.829	13.877	10.88
Joule	27.054	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nature Reviews Neurology	27	21.155	19.819	20.257	18.418	15.358	14.103	15.518	12.461	6.511
MATERIALS SCIENCE & ENGINEERING R-REPORTS	26.625	22.25	24.48	29.28	24.652	15.5	11.789	13.902	14.951	19.75
CANCER CELL	26.602	23.916	22.844	27.407	23.214	23.523	23.893	24.755	26.566	26.925
Materials Today	26.416	24.372	24.537	21.695	17.793	14.107	10.85	6.071	5.565	6.265
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	25.798	28.295	20.099	17.425	16.24	20.033	22.91	22.929	20.394	19.438
Annual Review of Biochemistry	25.787	26.922	20.154	19.939	21.407	30.283	26.534	27.681	34.317	29.742
PHYSIOLOGICAL REVIEWS	25.588	24.25	24.014	27.312	30.924	27.324	29.041	30.174	26.866	28.417
Lancet Diabetes & Endocrinology	25.34	24.54	19.313	19.742	16.32	9.185	NA	NA	NA	NA
Advanced Energy Materials	25.245	24.884	21.875	16.721	15.23	16.146	14.385	10.043	NA	NA
Lancet Respiratory Medicine	25.094	22.992	21.466	19.287	15.328	9.629	NA	NA	NA	NA
JAMA Oncology	24.799	22.416	20.871	16.559	NA	NA	NA	NA	NA	NA
LANCET INFECTIOUS DISEASES	24.446	27.516	25.148	19.864	21.372	22.433	19.446	19.966	17.391	16.144
IEEE Communications Surveys and Tutorials	23.7	22.973	20.23	17.188	9.22	6.806	6.49	4.818	6.311	3.692
CIRCULATION	23.603	23.054	18.881	19.309	17.202	15.073	14.948	15.202	14.739	14.432
EUROPEAN HEART JOURNAL	22.673	24.889	23.425	20.212	15.064	15.203	14.723	14.097	10.478	10.052
PROGRESS IN POLYMER SCIENCE	22.62	24.505	24.558	25.766	27.184	26.932	26.854	26.383	24.1	22.87
CLINICAL MICROBIOLOGY REVIEWS	22.556	17.75	20.642	19.958	16.187	17.406	16	17.313	16.129	13.5
IMMUNITY	22.553	21.522	19.734	22.845	24.082	21.561	19.748	19.795	21.637	24.221
Nature Chemistry	21.687	23.193	26.201	25.87	27.893	25.325	23.297	21.757	20.524	17.927
Lancet Global Health	21.597	15.873	18.705	17.686	14.722	10.042	NA	NA	NA	NA
Cell Metabolism	21.567	22.415	20.565	18.164	17.303	17.565	16.747	14.619	13.668	18.207
REVIEWS OF GEOPHYSICS	21.449	16.725	13.529	12.34	11.444	14.8	10.4	13.906	12.364	9.538
ANNALS OF INTERNAL MEDICINE	21.317	19.315	19.384	17.202	16.593	17.81	16.104	13.976	16.733	16.729
Nature Climate Change	20.893	21.722	19.181	19.304	17.184	14.547	15.295	14.472	NA	NA
Cell Stem Cell	20.86	21.464	23.29	23.394	22.387	22.268	22.151	25.315	25.421	25.943
PSYCHOLOGICAL BULLETIN	20.85	16.405	13.25	16.793	14.839	14.756	14.392	15.575	14.457	11.975
ACCOUNTS OF CHEMICAL RESEARCH	20.832	21.661	20.955	20.268	22.003	22.323	24.348	20.833	21.64	21.852
Nature Reviews Nephrology	20.711	19.684	14.101	12.146	9.463	8.542	8.368	7.943	7.092	4.75
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	20.589	18.639	16.834	19.896	17.759	16.503	15.343	14.086	14.156	14.293
JOURNAL OF HEPATOLOGY	20.582	18.946	15.04	12.486	10.59	11.336	10.401	9.858	9.264	9.334
CELL RESEARCH	20.507	17.848	15.393	15.606	14.812	12.413	11.981	10.526	8.19	9.417
NATURE IMMUNOLOGY	20.479	23.53	21.809	21.506	19.381	20.004	24.973	26.199	26.008	25.668
Nature Reviews Cardiology	20.26	17.42	15.162	14.299	10.533	9.183	10.154	10.4	8.833	7.467
NATURE NEUROSCIENCE	20.071	21.126	19.912	17.839	16.724	16.095	14.976	15.251	15.531	14.191
NATURE CELL BIOLOGY	20.042	17.728	19.064	20.06	18.699	19.679	20.058	20.761	19.488	19.407
Living Reviews in Solar Physics	20	14.625	12.833	12.455	19.333	17.636	11.833	13.833	12.5	NA
Annual Review of Immunology	19.9	21.429	22.714	28.396	35.543	39.327	41.392	36.556	52.761	49.271
GUT	19.819	17.943	17.016	16.658	14.921	14.66	13.319	10.732	10.111	10.614
Chem	19.735	18.205	14.104	NA	NA	NA	NA	NA	NA	NA
Annual Review of Physiology	19.556	17.902	14.327	11.115	15.754	18.51	14.696	19.547	20.827	NA
Annual Review of Plant Biology	19.54	18.918	18.712	22.808	22.131	23.3	18.9	23.654	25.962	28.415
Nature Physics	19.256	20.113	22.727	22.806	18.791	20.147	20.603	19.352	18.967	18.43
ACS Energy Letters	19.003	16.331	12.277	NA	NA	NA	NA	NA	NA	NA
Nature Biomedical Engineering	18.952	17.135	NA	NA	NA	NA	NA	NA	NA	NA
Science Robotics	18.684	19.4	NA	NA	NA	NA	NA	NA	NA	NA
JAMA Internal Medicine	18.652	20.768	19.989	16.538	14	13.116	NA	NA	NA	NA
ANNALS OF ONCOLOGY	18.274	14.196	13.93	11.855	9.269	7.04	6.578	7.384	6.425	6.452
Psychological Science in the Public Interest	18.25	22.25	21.286	14.143	19.286	16.833	12.833	NA	NA	NA
Annual Review of Psychology	18.156	19.755	22.774	19.95	19.085	21.81	20.533	15.265	16.833	NA
EUROPEAN UROLOGY	17.947	17.298	17.581	16.265	14.976	13.938	12.48	10.476	8.493	8.843
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	17.861	17.73	9.455	8.329	6.077	5.781	5.694	4.795	4.908	5.308
INTENSIVE CARE MEDICINE	17.679	18.967	15.008	12.015	10.125	7.214	5.544	5.258	5.399	4.996
BLOOD	17.543	16.601	15.132	13.164	11.847	10.452	9.775	9.06	9.898	10.558
JAMA Psychiatry	17.471	15.916	16.642	15.307	14.417	12.008	NA	NA	NA	NA
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	17.452	16.494	15.239	13.204	13.118	12.996	11.986	11.041	11.08	10.191
